Source User Email,Sender Domain,Mimecast Header From,Count of Records
﻿Source User Email,Sender Domain,Mimecast Header From,Count of records
pm_bounces@pmbounces.sifterapp.com,pmbounces.sifterapp.com,notifications@sifterapp.com,519
bounces+1391342-49c3-sheila.tobin,undefined,team@pageproof.com,384
bounces+1391342-65fe-amy.knierim,undefined,team@pageproof.com,330
bounces+1391342-b161-dan.platz,undefined,team@pageproof.com,305
msprvs1,undefined,nlmailer@notification.netsuite.com,50
msprvs1,undefined,nytdirect@nytimes.com,49
msprvs1,undefined,support@netsuite.com,36
msprvs1,undefined,cheers@email.drizly.com,25
msprvs1,undefined,system@sent-via.netsuite.com,25
msprvs1,undefined,support@email.masterclass.com,16
msprvs1,undefined,listingupdates@flexmail.flexmls.com,11
msprvs1,undefined,guys@mancrates.com,10
msprvs1,undefined,boxteam@customer.box.com,8
msprvs1,undefined,team@cmail.bark.com,8
msprvs1,undefined,hi@m.hidrb.com,7
msprvs1,undefined,hello@e.tovala.com,6
msprvs1,undefined,lmuniz@mailer1.pharmamkt.com,6
msprvs1,undefined,mail@exhibitoronline.co,5
msprvs1,undefined,hello@care.com,4
msprvs1,undefined,hello@ettitude.com,4
msprvs1,undefined,info@spoonfulofcomfort.com,4
msprvs1,undefined,news@m.market.envato.com,4
msprvs1,undefined,taco@trello.com,4
msprvs1,undefined,hello@esprovisions.com,3
msprvs1,undefined,netsuite@netsuite.com,3
msprvs1,undefined,account.assistance@system.smartsheet.com,2
msprvs1,undefined,hello@em.ezcater.com,2
msprvs1,undefined,info@innovatormd.com,2
msprvs1,undefined,louisa.timms@cmail.bark.com,2
msprvs1,undefined,retail@rustico.com,2
msprvs1,undefined,hello@wizardpins.com,1
msprvs1,undefined,info@matrescenceskin.com,1
msprvs1,undefined,offer@fugu-studio.com,1
msprvs1,undefined,social@thetreecenter.com,1
msprvs1,undefined,team@comms.evernote.com,1
msprvs1,undefined,welcome@system.smartsheet.com,1
bounces+1391342-24b2-benjamin.miller,undefined,team@pageproof.com,177
bounces+1391342-6bce-daisy.kaplan,undefined,team@pageproof.com,175
bounces+1391342-8b69-nicole.heller,undefined,team@pageproof.com,151
bounces+1391342-6cc7-alice.klochkova,undefined,team@pageproof.com,95
bounces+1391342-eb1b-michelle.lentz,undefined,team@pageproof.com,91
delivery@bounce.broadcaster3.medpagetoday.com,bounce.broadcaster3.medpagetoday.com,daily.headlines@broadcaster3.medpagetoday.com,69
bounces+1391342-9470-chiara.chandoha-lee,undefined,team@pageproof.com,56
bounces+1391342-917e-rachel.margolis,undefined,team@pageproof.com,55
bounces+1391342-ac85-john.ayoub,undefined,team@pageproof.com,55
bounces+1391342-8270-mackenzie.snoddy,undefined,team@pageproof.com,45
bounces+1121182-0398-matthew.west,undefined,news-q@law360.com,88
bounces+1391342-e61d-jillian.coelho,undefined,team@pageproof.com,43
bounces+1391342-19ef-kristin.wilson,undefined,team@pageproof.com,40
bounces+10936852-49f8-kathryn.wilson,undefined,lenox@email.lenox.com,40
pm_bounces@pm-bounces.clearmix.com,pm-bounces.clearmix.com,review@clearmix.com,35
bounces+1391342-0009-nirmal.bhide,undefined,team@pageproof.com,34
bounces+21518297-7762-kathryn.wilson,undefined,highlights@em.highlights.com,33
email@renweb.com,renweb.com,echouinard@sjp2ca.org,12
email@renweb.com,renweb.com,aforeman@sjp2ca.org,6
email@renweb.com,renweb.com,lmcateer@sjp2ca.org,3
email@renweb.com,renweb.com,chfolan@sjp2ca.org,2
email@renweb.com,renweb.com,ncuomo@sjp2ca.org,2
email@renweb.com,renweb.com,mhiggins@sjp2ca.org,1
bounces+kathryn.wilson,undefined,personalcreations@eml.personalcreations.com,22
bounces+kathryn.wilson,undefined,amie@amgsalesmeeting.com,3
bounces+kathryn.wilson,undefined,forbes@email.forbes.com,2
bounces+13054897-fa25-vikram.kanda,undefined,newsletters@firstwordpharma.com,25
lockstep@b1.ms00.net,b1.ms00.net,melissa.hendrick@lockstepinfo.com,36
bounces+3733148-d1fe-kathryn.wilson,undefined,noreply@lucadanni.com,24
newsletters--anadv@send.smartbrief.com,send.smartbrief.com,anadv@smartbrief.com,20
newsletters--anadv@send.smartbrief.com,send.smartbrief.com,natadv@smartbrief.com,3
